name,scope,other_names,location_found,pattern_type,pattern,confidence_no_fp,expected_countries,source,exp_url,notes
ooni.id_52,isp,cl.dns_isp_id_sehat_crypto_negatif,dns,full,202.52.141.98,5,ID,ooni,,Indonesian ISP Crypto DNS filtering (Negatif Konten)
ooni.id_53,isp,cl.dns_isp_id_sehat_jlm_negatif,dns,full,150.107.140.200,5,ID,ooni,,Indonesian ISP JLM DNS filtering (Negatif Konten)
ooni.id_54,isp,cl.dns_isp_id_sehat_starnet_light,dns,full,103.14.16.18,5,ID,ooni,https://explorer.ooni.org/measurement/20181006T114052Z_AS9657_yU1pa9b0I0vRzcBU5OsWOV6phrI2FBxQosem0mJRQdKZupCPkE?input=http://bisexual.org/,Indonesian ISP Starnet DNS filtering (light variant)
ooni.id_55,isp,cl.dns_isp_id_sehat_starnet_dark,dns,full,113.197.108.236,5,ID,ooni,https://explorer.ooni.org/measurement/20170620T000111Z_AS0_5is0TiDSWSWQSmW01Yc1B4kQFQsMmPhLT2vKSqFsVhuYzbPYvd?input=http://www.gayscape.com,Indonesian ISP Starnet DNS filtering (dark variant)
ooni.id_56,isp,cl.dns_isp_id_sehat_citra,dns,full,202.65.113.54,5,ID,ooni,https://explorer.ooni.org/measurement/20170920T165858Z_AS17974_3WOOOvd6aU5LlWGoP1mVIXMiXBDXaJpAwfkjP4IYR52V0nXvDF?input=http://www.advocate.com,Indonesian ISP Citra blockpage
ooni.id_57,isp,cl.dns_isp_id_sehat_argon,dns,full,103.195.19.54,5,ID,ooni,https://explorer.ooni.org/measurement/20170501T123218Z_AS17974_TQovh9GvtBR3FlRa5IfIH19tSRfiGUgUzEnGoh5sgdLI1m0OgY?input=http://www.ifge.org,Indonesian ISP Argon (Datacentre) blockpage
ooni.id_58,isp,cl.dns_isp_id_sehat_sumberdata,dns,full,103.10.120.3,5,ID,ooni,,Indonesian ISP Sumber Data blockpage
ooni.id_59,isp,cl.dns_isp_id_sehat_fibernet,dns,full,27.123.220.197,5,ID,ooni,,Indonesian ISP Fibernet blockpage
ooni.id_60,isp,cl.dns_isp_id_sehat_gooptix,dns,full,103.108.159.238,5,ID,ooni,,Indonesian ISP Go-Optix blockpage
ooni.id_61,isp,cl.dns_isp_id_sehat_ltn,dns,full,103.126.10.252,5,ID,ooni,,Indonesian ISP Lintas Telematika Nusantara blockpage
ooni.id_62,isp,cl.dns_isp_id_sehat_utaramedia,dns,full,103.142.60.250,5,ID,ooni,,Indonesian ISP Utara Internet blockpage
ooni.id_63,isp,cl.dns_isp_id_sehat_bitsnet,dns,full,103.19.56.2,5,ID,ooni,,Indonesian ISP Bitsnet blockpage
ooni.id_64,isp,cl.dns_isp_id_sehat_winetmedia,dns,full,103.70.68.68,5,ID,ooni,,Indonesian ISP Winnet Media blockpage
ooni.id_65,isp,cl.dns_isp_id_sehat_foxlinemedia,dns,full,103.83.96.242,5,ID,ooni,,Indonesian ISP Foxline Media blockpage
ooni.id_66,isp,cl.dns_isp_id_sehat_hypernet_1,dns,full,114.129.22.33,5,ID,ooni,https://explorer.ooni.org/measurement/20170323T040824Z_AS38758_zjtAoJrqVgnQCOYSHGqrVt4bSHxEUGnj0DvgJqHEJMKnnmllir?input=http://transsexual.org,Indonesian ISP Hypernet blockpage
ooni.id_67,isp,cl.dns_isp_id_sehat_hypernet_2,dns,full,114.129.23.9,5,ID,ooni,,Indonesian ISP Hypernet blockpage
ooni.id_68,isp,cl.dns_isp_id_sehat_netsafeindosat_1,dns,full,netsafe.indosatm2.com,5,ID,ooni,https://explorer.ooni.org/measurement/20170330T110102Z_AS4795_yod1sqqu9NwrIBlJDfMepLmyAp3zVxQK5QG6Qqux11QuioLrYJ?input=https://www.gay.com/,Indonesian ISP Indosat Netsafe blockpage. This is based off the CNAME record but was seen on IP 124.81.92.132
ooni.id_69,isp,cl.dns_isp_id_sehat_netsafeindosat_2,dns,full,114.6.128.8,5,ID,ooni,https://explorer.ooni.org/measurement/20170608T035018Z_AS4761_HEJ2bT3U6QBEL4IdHLTPpWshehej9EcxiwssgeMxRTlBLQeLJx?input=http://www.glil.org,Indonesian ISP Indosat Netsafe blockpage
ooni.id_70,isp,cl.dns_isp_id_sehat_nusanet,dns,full,150.107.151.151,5,ID,ooni,,Indonesian ISP Nusa Net blockpage
ooni.id_71,isp,cl.dns_isp_id_sehat_myrepublic,dns,full,158.140.186.3,5,ID,ooni,https://explorer.ooni.org/measurement/20180601T040605Z_AS63859_uzo47992c80YC59mVTgn649d8nTkGPtm3Z8TZ69jdWAmMMMkCb?input=http://www.samesexmarriage.ca,Indonesian ISP MyRepublic blockpage
ooni.id_72,isp,cl.dns_isp_id_sehat_firstmedia,dns,full,internetpositif3.firstmedia.com,5,ID,ooni,https://explorer.ooni.org/measurement/20190612T150505Z_AS23700_e7qsqPDY72QkdwPcDeUb5NkHxZ9HgpHOuU8p5oNFp5uW4BJAk7?input=https://www.shoe.org/,Indonesian ISP FirstMedia blockpage. Matches against a CNAME record IP was 202.137.1.74 when observed.
ooni.id_73,isp,cl.dns_isp_id_sehat_melsa,dns,full,filter.melsa.net.id,5,ID,ooni,https://explorer.ooni.org/measurement/20181006T114052Z_AS9657_yU1pa9b0I0vRzcBU5OsWOV6phrI2FBxQosem0mJRQdKZupCPkE?input=http://www.bglad.com,Indonesian ISP Melsa blockpage. Matches the CNAME record IP was 202.138.224.15
ooni.id_74,isp,cl.dns_isp_id_sehat_ptcentrin,dns,full,block.centrin.net.id,5,ID,ooni,https://explorer.ooni.org/measurement/20190314T214950Z_AS17658_kybYxwcXIxWZYnX32z36B1ZprSLxFT3WpxY0g7sfuy0Uy7MLAo?input=https://www.ilga-europe.org/,"Indonesian ISP PT Centrin Online blockpage. Matches the CNAME record, the IP was 202.146.255.7"
ooni.id_75,isp,cl.dns_isp_id_sehat_lintasarta,dns,full,202.152.4.67,5,ID,ooni,https://explorer.ooni.org/measurement/20190605T140849Z_AS4800_bKVUk4pjoLXBQOUdWBLnQOPZfWfDPGCSoURwopRoEj0O4ZjOKG?input=http://www.tsroadmap.com/,Indonesian Business ISP Lintasarta blockpage
ooni.id_76,isp,cl.dns_isp_id_sehat_circleone,dns,full,202.165.36.253,5,ID,ooni,,Indonesian ISP Circle One blockpage
ooni.id_77,isp,cl.dns_isp_id_sehat_biznet,dns,full,202.169.44.80,5,ID,ooni,https://explorer.ooni.org/measurement/20171105T072208Z_AS17451_7r3LG7AAcL538QaLjG44o23fmyWhbFiEOWEnbZfDhu1Lfpg6jF?input=http://www.grindr.com/,Indonesian ISP Biznet blockpage
ooni.id_78,isp,cl.dns_isp_id_sehat_starcom,dns,full,202.50.202.50,5,ID,ooni,,Indonesian ISP Starcom blockpage
ooni.id_79,isp,cl.dns_isp_id_sehat_iforte,dns,full,trustpositif.iforte.net.id,5,ID,ooni,https://explorer.ooni.org/measurement/20190924T072134Z_AS17995_Seinciq0527hnzfIuN4ZQvKYqy8NKBKGHK9vt01KkY79iofutj?input=http://www.gayhealth.com/,Indonesian ISP iForte blockpage. Matches a CNAME record IP was 202.51.96.7
ooni.id_80,isp,cl.dns_isp_id_sehat_varnion_1,dns,full,202.56.160.131,5,ID,ooni,https://explorer.ooni.org/measurement/20180119T081053Z_AS45287_NWeT8zKRcKd7z2WYMntHuw2GIwqK0zCAh0A5UnvxzKw4s9rN0u?input=http://www.gayhealth.com,Indonesian ISP (caters to hospitality industry) Varnion blockpage. Note: Does a very weird round robin with a local hostname (just filter)
ooni.id_81,isp,cl.dns_isp_id_sehat_varnion_2,dns,full,202.56.160.132,5,ID,ooni,https://explorer.ooni.org/measurement/20180119T081053Z_AS45287_NWeT8zKRcKd7z2WYMntHuw2GIwqK0zCAh0A5UnvxzKw4s9rN0u?input=http://www.gayhealth.com,Indonesian ISP (caters to hospitality industry) Varnion blockpage. Note: Does a very weird round robin with a local hostname (just filter)
ooni.id_82,isp,cl.dns_isp_id_sehat_varnion_3,dns,full,203.99.130.131,5,ID,ooni,https://explorer.ooni.org/measurement/20180224T051609Z_AS45287_IoqMH28cD0RwJsIYHmj0rMDUt8oigefrA7YweS4lZ0ahxrDrDy?input=http://www.gay.com/,Indonesian ISP (caters to hospitality industry) Varnion blockpage. Note: Does a very weird round robin with a local hostname (just filter)
ooni.id_83,isp,cl.dns_isp_id_sehat_idnic_1,dns,full,203.119.13.75,5,ID,ooni,https://explorer.ooni.org/measurement/20171120T160605Z_AS0_J83hVqCVk4VUk9IGei68s4rSrT0F9OWHa3EzXwz6iJaHcxCO6J?input=https://www.gay.com/,Indonesian NIC blockpage
ooni.id_84,isp,cl.dns_isp_id_sehat_idnic_2,dns,full,203.119.13.76,5,ID,ooni,https://explorer.ooni.org/measurement/20200130T121354Z_AS18103_6roxhkcpVP4ML3VyjL75G28deYvsJgocbDyeV8Ud6WBHAFTwy4?input=http://www.bglad.com/,Indonesian NIC blockpage
ooni.id_85,isp,cl.dns_isp_id_sehat_hanastar,dns,full,203.160.56.38,5,ID,ooni,,Indonesian ISP Hanastar ID blockpage
ooni.id_86,isp,cl.dns_isp_id_comnets,dns,full,220.247.168.195,5,ID,ooni,https://explorer.ooni.org/measurement/20200213T075343Z_AS131111_n3Zv50ZiRaGIm7uCn3IwOIN879EzYbr3OV08aHpZdOIzsk83iT?input=https://www.ilga-europe.org/,Indonesian ISP Icon Comnets+ blockpage.
ooni.id_87,isp,cl.dns_isp_id_sehat_transhybrid_1,dns,full,58.147.184.141,5,ID,ooni,,Indonesian ISP Trans Hybrid blockpage
ooni.id_88,isp,cl.dns_isp_id_sehat_transhybrid_2,dns,full,58.147.185.131,5,ID,ooni,,Indonesian ISP Trans Hybrid blockpage
ooni.id_89,isp,cl.dns_isp_id_sehat_first,dns,full,202.73.99.3,5,ID,ooni,https://explorer.ooni.org/measurement/20161003T063421Z_AS23700_BcAJiWTdgtzSTE5ezaPJoywgMdwm8hZm8yb6Hw3iUB8atIiJCI?input=http://transsexual.org,Indonesian ISP First Media blockpage
ooni.id_90,isp,cl.dns_isp_id_sehat_gmedia_cname,dns,full,xblock.gmedia.net.id,5,ID,ooni,https://explorer.ooni.org/measurement/20190301T020519Z_AS55666_zcD5kLAL3QHZypge7Kppqp2ysd5p76afVPmvC7XlZ8zol52iEl?input=http://ilga.org/,Indonesian ISP GMedia blockpage. Matches CNAME record with an IP of 49.128.177.13 when observed.
